name,doresal/ventral,anterior/posterior,left/right,sex,sub/family,genus,species,subspecies,name,area,ellipse_axe_2_length,max_axe_2_length,deviation_max_axe_2_from_center,axe_2_moment_2,axe_2_moment_3,axe_2_moment_4,std_axe_2_moment_2,std_axe_2_moment_3,std_axe_2_moment_4
JM02.0686,v,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0686-v_Ant_d,1115122.0,841.5898,931.0,6.5123,239848564634.0,141735254075500.0,9.10361664200747e+16,0.49815,0.54005,0.57415
JM02.0686,v,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0686-v_Ant_g,1108348.0,832.7195,920.0,17.2051,236738200639.0,139140870342371.0,8.8904918359725e+16,0.50235,0.5442600000000001,0.5784600000000001
JM02.0687,d,Ant,d,m,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0687-d_Ant_d,1165688.0,839.0789,935.0,-68.4536,247496883231.0,146105010058101.0,9.40687588513519e+16,0.49281,0.5352399999999999,0.57004
JM02.0687,d,Ant,g,m,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0687-d_Ant_g,1158404.0,844.2294,935.0,-46.9961,244250302291.0,144324720100093.0,9.30788912991957e+16,0.49111000000000005,0.53417,0.56942
JM02.0687,v,Ant,d,m,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0687-v_Ant_d,1159707.0,844.3191,936.0,-49.2225,245698028517.0,145407061426929.0,9.39198396347217e+16,0.49176000000000003,0.53473,0.56994
JM02.0687,v,Ant,g,m,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0687-v_Ant_g,1167224.0,838.6464,934.0,-70.7244,246105982180.0,144947308385880.0,9.31216108957972e+16,0.49163,0.5341600000000001,0.56902
JM02.0982,d,Ant,d,m,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0982-d_Ant_d,1210199.0,850.8289,934.0,-42.3572,263333222633.0,156880029483285.0,1.01587455600715e+17,0.49943000000000004,0.54186,0.5763
JM02.0982,d,Ant,g,m,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0982-d_Ant_g,1204048.0,847.2389,935.0,-58.5999,269860042081.0,161949229291199.0,1.05535170809103e+17,0.5063300000000001,0.54798,0.58194
JM02.0982,v,Ant,d,m,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0982-v_Ant_d,1203598.0,846.6679,936.0,-55.8059,269903532287.0,161961311593739.0,1.05530520430143e+17,0.50593,0.54748,0.58136
JM02.0982,v,Ant,g,m,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0982-v_Ant_g,1211277.0,849.7702,934.0,-42.7292,261804924016.0,155561283756194.0,1.00475372710149e+17,0.49776000000000004,0.54018,0.5745899999999999
JM02.0983,d,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0983-d_Ant_d,884626.0,728.8134,802.0,8.5266,143563898739.0,73496905997833.0,4.08364614306659e+16,0.50231,0.54408,0.57796
JM02.0983,d,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0983-d_Ant_g,886693.0,728.9702,800.0,56.1981,142864408598.0,73002404716912.0,4.04993214758712e+16,0.50175,0.54379,0.57787
JM02.0983,v,Ant,d,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0983-v_Ant_d,888814.0,729.7168,801.0,53.5381,143075887641.0,73119884135409.0,4.05736862634412e+16,0.50089,0.54297,0.57707
JM02.0983,v,Ant,g,f,Ithomiinae,Melinaea,marsaeus,mothone,JM02.0983-v_Ant_g,886234.0,729.2956,803.0,22.1718,144113272506.0,73836655643732.0,4.10548193875684e+16,0.5021800000000001,0.54391,0.57775
JM02.1083,d,Ant,d,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1083-d_Ant_d,909947.0,742.1008,820.0,-38.4742,148781080530.0,77149078886324.0,4.35685968863701e+16,0.49312,0.53574,0.5704600000000001
JM02.1083,d,Ant,g,m,Ithomiinae,Melinaea,marsaeus,phasiana,JM02.1083-d_Ant_g,885066.0,725.546,808.0,0.9292299999999999,141221457750.0,71974318194058.0,3.98820288129016e+16,0.49437,0.5361899999999999,0.57022
