name,name.1,area,ellipse_axe_2_length,max_axe_2_length,deviation_max_axe_2_from_center,axe_2_moment_2,axe_2_moment_3,axe_2_moment_4,std_axe_2_moment_2,std_axe_2_moment_3,std_axe_2_moment_4,max_axe_1_length
MJ02.0953-d_Ant_d,0953-d_Ant_d,1027377.0,795.315,870.0,-42.7293,200564291058.0,112240860220908.0,6.80350146603351e+16,0.50786,0.54948,0.58308,1758.0
MJ02.0953-d_Post_d,0953-d_Post_d,652802.0,721.7213,730.0,-98.1584,100425465580.0,50111514771492.0,2.69069577772025e+16,0.53729,0.58219,0.61723,1134.0
MJ02.0959-d_Ant_g,0959-d_Ant_g,1107715.0,823.1903,890.0,-67.4843,233786195295.0,135606231609931.0,8.49993805484318e+16,0.51619,0.55791,0.59137,1785.0
MJ02.0959-d_Post_d,0959-d_Post_d,788341.0,843.1043,849.0,40.1419,172716771339.0,101921944428111.0,6.46376286335508e+16,0.55132,0.59558,0.63028,1182.0
MJ02.0960-d_Ant_g,0960-d_Ant_g,1020771.0,780.9894,844.0,-63.7935,191076825271.0,104753651395939.0,6.21264227453998e+16,0.51262,0.55472,0.5885,1763.0
MJ02.0960-d_Post_g,0960-d_Post_g,682363.0,779.0905,788.0,-32.8567,128041649285.0,70004631870073.0,4.11786502121338e+16,0.54972,0.59408,0.62898,1109.0
MJ02.0961-d_Ant_g,0961-d_Ant_g,1029061.0,798.1932,867.0,-14.9358,206512301322.0,116513584022384.0,7.10442868879479e+16,0.51669,0.55799,0.59123,1753.0
MJ02.0961-d_Post_g,0961-d_Post_g,668100.0,734.5138,737.0,-95.6372,103702477572.0,52306519267908.0,2.84312712017485e+16,0.53457,0.58046,0.61627,1160.0
MJ02.0962-d_Ant_g,0962-d_Ant_g,1026295.0,784.1322,853.0,-27.0639,195850271700.0,108004320050670.0,6.43462901150659e+16,0.51213,0.55349,0.58663,1758.0
MJ02.0962-d_Post_d,0962-d_Post_d,683169.0,785.0919,792.0,-38.7994,129022936871.0,70811256577881.0,4.17854042905137e+16,0.54871,0.59311,0.62791,1100.0
MJ02.0971-d_Ant_g,0971-d_Ant_g,952032.0,766.8315,839.0,-24.2915,172173766312.0,92806682418374.0,5.41884646868889e+16,0.50687,0.54855,0.58217,1683.0
MJ02.0971-d_Post_d,0971-d_Post_d,611415.0,705.0426,701.0,-43.5872,89098024584.0,43329073650904.0,2.26705853246949e+16,0.54456,0.59033,0.62598,1088.0
MJ02.0972-d_Ant_g,0972-d_Ant_g,1032066.0,803.806,878.0,-28.8814,205201420833.0,115903428444277.0,7.08956311907097e+16,0.50786,0.5495,0.58309,1747.0
MJ02.0972-d_Post_g,0972-d_Post_g,667132.0,758.1321,755.0,-151.957,108950895769.0,56487170846733.0,3.1552884190364e+16,0.53526,0.58161,0.61767,1105.0
MJ02.0973-d_Ant_d,0973-d_Ant_d,1111560.0,829.2921,892.0,-34.6431,235057124430.0,136801421388086.0,8.60805459544013e+16,0.51553,0.55764,0.5914,1793.0
MJ02.0973-d_Post_d,0973-d_Post_d,755244.0,823.0058,840.0,-66.1404,158359284996.0,91477747895812.0,5.68515869890903e+16,0.54513,0.58902,0.62357,1171.0
MJ02.0974-d_Ant_g,0974-d_Ant_g,1094780.0,815.087,880.0,-15.1214,225311015267.0,129315773605325.0,8.02988693832329e+16,0.51552,0.55756,0.59138,1795.0
MJ02.0974-d_Post_d,0974-d_Post_d,767899.0,833.8197,843.0,-23.6245,162972069714.0,94925995005446.0,5.94683563957785e+16,0.54648,0.59093,0.62577,1167.0
MJ02.0981-d_Ant_g,0981-d_Ant_g,1058762.0,790.1193,849.0,-8.9797,197657754360.0,108869016682172.0,6.49387831300414e+16,0.50892,0.55182,0.58616,1786.0
MJ02.0981-d_Post_d,0981-d_Post_d,686771.0,788.4991,802.0,-42.0078,130631917807.0,72068316271789.0,4.28048908859329e+16,0.54381,0.58813,0.62301,1122.0
MJ02.0982-d_Ant_g,0982-d_Ant_g,1005805.0,783.6576,852.0,-21.6541,191575339116.0,105757976720486.0,6.31512969878334e+16,0.51224,0.55398,0.58753,1709.0
MJ02.0982-d_Post_g,0982-d_Post_g,683937.0,783.8212,788.0,-17.4496,124719286416.0,67745718582134.0,3.96201438798633e+16,0.54192,0.58717,0.62259,1099.0
MJ02.0988-d_Ant_g,0988-d_Ant_g,1057262.0,795.72,868.0,-18.4854,204939907666.0,114466539480864.0,6.92639143421993e+16,0.50723,0.54909,0.58286,1813.0
MJ02.0988-d_Post_g,0988-d_Post_g,648739.0,718.2081,712.0,-92.9773,97242041401.0,48055308449345.0,2.55601315816949e+16,0.54377,0.58985,0.62574,1144.0
MJ02.0989-d_Ant_g,0989-d_Ant_g,931890.0,751.6378,817.0,-44.3559,163734219786.0,86786988262022.0,4.98013092196772e+16,0.51306,0.55481,0.5885,1678.0
MJ02.0989-d_Post_g,0989-d_Post_g,580403.0,694.9588,699.0,-130.0906,82648158271.0,39709842525759.0,2.0538472833612e+16,0.53985,0.58512,0.62049,1052.0
MJ02.0990-d_Ant_g,0990-d_Ant_g,1154168.0,823.6434,897.0,-51.2136,240584067029.0,139167606651807.0,8.71079326267296e+16,0.50899,0.55076,0.58433,1883.0
MJ02.0990-d_Post_g,0990-d_Post_g,818249.0,857.0907,873.0,-8.2542,186882779627.0,112604058881117.0,7.29924919888682e+16,0.54743,0.59139,0.62601,1204.0
MJ02.0991-d_Ant_d,0991-d_Ant_d,1139005.0,857.9985,931.0,-48.949,257942838582.0,155713023593052.0,1.01854261766929e+17,0.51115,0.55333,0.58737,1791.0
MJ02.0991-d_Post_g,0991-d_Post_g,750230.0,793.5026,795.0,-74.2105,135684940600.0,73898375118256.0,4.33779370438108e+16,0.53494,0.58092,0.61681,1199.0
MJ02.0995-d_Ant_d,0995-d_Ant_d,1078244.0,814.2322,878.0,-44.5849,215843803094.0,122964972298408.0,7.59313294044802e+16,0.50959,0.55232,0.58672,1768.0
MJ02.0995-d_Post_g,0995-d_Post_g,682247.0,750.2127,756.0,-23.3948,110674417991.0,57018240322921.0,3.16481832588305e+16,0.53276,0.57832,0.61388,1146.0
MJ02.0996-d_Ant_g,0996-d_Ant_g,1175819.0,856.9189,934.0,-2.9784,268616961397.0,162419397362361.0,1.06348752540256e+17,0.51174,0.55346,0.58715,1875.0
MJ02.0996-d_Post_g,0996-d_Post_g,743917.0,786.574,785.0,-124.3,131278690843.0,70755246523429.0,4.11106131757851e+16,0.53514,0.58149,0.61764,1194.0
MJ02.0998-d_Ant_d,0998-d_Ant_d,1106335.0,824.1416,887.0,-42.8886,231760081627.0,134192811105615.0,8.40004619266771e+16,0.516,0.55807,0.5918,1790.0
MJ02.0998-d_Post_d,0998-d_Post_d,764433.0,826.362,835.0,-121.0895,159426217543.0,91972699391319.0,5.70466390057094e+16,0.54692,0.59123,0.62595,1179.0
MJ02.0999-d_Ant_g,0999-d_Ant_g,1113232.0,838.8056,912.0,-50.0877,240076890933.0,141490248412895.0,9.03858809129856e+16,0.5092,0.5513,0.58531,1802.0
MJ02.0999-d_Post_g,0999-d_Post_g,733731.0,774.4386,779.0,-52.0164,127403322286.0,67915225155394.0,3.90193004219739e+16,0.53491,0.58068,0.61645,1197.0
MJ02.1000-d_Ant_g,1000-d_Ant_g,1090865.0,811.0003,884.0,3.4683,215689625446.0,122093129167752.0,7.48654820599667e+16,0.50301,0.54516,0.579,1782.0
MJ02.1000-d_Post_g,1000-d_Post_g,713067.0,805.8228,817.0,-18.7218,143434453602.0,81121431161930.0,4.93455489608983e+16,0.54896,0.59308,0.62778,1133.0
MJ02.1016-d_Ant_g,1016-d_Ant_g,1099008.0,835.0754,892.0,-56.2393,232183258923.0,135529936696797.0,8.55297453041722e+16,0.51529,0.55802,0.59213,1722.0
MJ02.1016-d_Post_d,1016-d_Post_d,766187.0,831.3669,841.0,-129.4559,161561210756.0,93774706464894.0,5.85256810529304e+16,0.54602,0.59037,0.62511,1163.0
MJ02.1017-d_Ant_d,1017-d_Ant_d,1070847.0,818.8961,888.0,-50.3846,214673730061.0,122685869168531.0,7.60717484290599e+16,0.50421,0.54694,0.58138,1770.0
MJ02.1017-d_Post_g,1017-d_Post_g,664627.0,724.6072,716.0,-94.906,99935430734.0,49621392107252.0,2.65189599701786e+16,0.54157,0.5881,0.62421,1183.0
MJ02.1018-d_Ant_d,1018-d_Ant_d,1184772.0,855.9354,922.0,-70.4088,263462221558.0,157788248600870.0,1.02239911556453e+17,0.51146,0.55388,0.58785,1833.0
MJ02.1018-d_Post_d,1018-d_Post_d,809782.0,836.8225,845.0,-9.4642,177197927049.0,104302156971903.0,6.59794125231832e+16,0.55359,0.59766,0.63227,1225.0
MJ02.1019-d_Ant_g,1019-d_Ant_g,1080507.0,821.0183,883.0,-10.3198,220714542548.0,126764088495372.0,7.88192668468795e+16,0.51185,0.55441,0.58856,1771.0
MJ02.1019-d_Post_d,1019-d_Post_d,692054.0,755.103,753.0,-29.3504,113561632152.0,58847479197038.0,3.28422387017413e+16,0.53796,0.58398,0.61984,1150.0
MJ02.1020-d_Ant_g,1020-d_Ant_g,1117667.0,829.3145,896.0,-88.4862,232153582074.0,134566392215640.0,8.44537850068292e+16,0.50866,0.5511,0.58515,1807.0
MJ02.1020-d_Post_g,1020-d_Post_g,757797.0,823.949,838.0,-31.2301,160277679121.0,92879261735913.0,5.78923714756827e+16,0.5488,0.59276,0.62737,1165.0
MJ02.1028-d_Ant_g,1028-d_Ant_g,1100444.0,816.6029,879.0,-67.9718,219494337718.0,124959332617742.0,7.70479513480288e+16,0.50809,0.55091,0.58521,1804.0
MJ02.1028-d_Post_g,1028-d_Post_g,771964.0,830.3909,839.0,-5.2227,165181770242.0,96293821247574.0,6.03559795386409e+16,0.55134,0.59553,0.63026,1179.0
MJ02.1029-d_Ant_g,1029-d_Ant_g,1138990.0,823.7749,884.0,-64.4512,229367089450.0,131363474029938.0,8.1469344782712e+16,0.50764,0.55064,0.58501,1837.0
MJ02.1029-d_Post_g,1029-d_Post_g,748925.0,810.0266,821.0,-17.3782,154384404144.0,87999094376142.0,5.38550345382702e+16,0.55302,0.59658,0.63075,1174.0
MJ02.1030-d_Ant_d,1030-d_Ant_d,1054439.0,802.6488,872.0,-35.4171,208897027155.0,117773549763735.0,7.18224236489498e+16,0.51043,0.55228,0.58586,1735.0
MJ02.1030-d_Post_d,1030-d_Post_d,710435.0,787.6343,795.0,-30.2802,139181716824.0,77340628838132.0,4.61635470352441e+16,0.55675,0.60061,0.63508,1146.0
MJ02.1036-d_Ant_g,1036-d_Ant_g,1053937.0,813.8828,877.0,-58.107,212571103397.0,121126001448673.0,7.46529367988154e+16,0.51209,0.55438,0.58825,1738.0
MJ02.1036-d_Post_g,1036-d_Post_g,725224.0,821.4157,822.0,-6.8278,143630398058.0,81484618395130.0,4.97815848943919e+16,0.5414,0.58703,0.6227,1116.0
MJ02.1037-d_Ant_g,1037-d_Ant_g,1133782.0,854.153,924.0,-49.0985,258736692116.0,155925491217702.0,1.01548104309009e+17,0.517,0.55863,0.59206,1775.0
MJ02.1037-d_Post_g,1037-d_Post_g,790356.0,851.3264,859.0,-43.0148,173251202596.0,102892801721064.0,6.58226035175529e+16,0.54505,0.59001,0.62538,1183.0
MJ02.1052-d_Ant_g,1052-d_Ant_g,1151146.0,848.3368,917.0,-73.4698,255548033073.0,152522472410299.0,9.85472024356839e+16,0.51381,0.55594,0.58987,1821.0
MJ02.1052-d_Post_g,1052-d_Post_g,800738.0,860.4456,870.0,-119.8819,179639330534.0,107812629125380.0,6.96575363703558e+16,0.54442,0.58912,0.62424,1185.0
