name,sex,genotype,area,ellipse_axe_1_length,max_axe_1_length,deviation_max_axe_1_from_center,axe_1_moment_2,axe_1_moment_3,axe_1_moment_4,std_axe_1_moment_2,std_axe_1_moment_3,std_axe_1_moment_4
0990-d_Ant_g,M,a-s,1154168.0,1829.4472,1883.0,-95.6147,1115928588516.0,1411476274145110.0,1.93642003864277e+18,0.5222,0.56792,0.60441
0990-d_Post_g,M,a-s,818249.0,1222.6569,1204.0,28.768,387267763571.0,332957626315499.0,3.06792143281641e+17,0.5714,0.61547,0.64992
0991-d_Ant_d,F,a-e,1139005.0,1749.67,1791.0,136.078,1292178235633.0,1657755784001550.0,2.25627885309742e+18,0.59471,0.63276,0.6624
0991-d_Post_g,F,a-e,750230.0,1213.7352,1199.0,20.8493,351163829057.0,300191829651941.0,2.74980217552251e+17,0.57061,0.61459,0.64894
0995-d_Ant_d,F,a-s,1078244.0,1740.0947,1768.0,77.3001,1185255612717.0,1502747135062430.0,2.02353313924391e+18,0.59301,0.63179,0.66201
0995-d_Post_g,F,a-s,682247.0,1166.9854,1146.0,-59.2688,294139170165.0,241539042575897.0,2.12579667821466e+17,0.57296,0.6173,0.65194
0996-d_Ant_g,F,a-s,1175819.0,1809.4939,1875.0,-91.8003,1083431437442.0,1349254494908660.0,1.82883593164502e+18,0.51195,0.55836,0.5956
0996-d_Post_g,F,a-s,743917.0,1215.5361,1194.0,-57.4526,348754887922.0,298289693308576.0,2.73277674214153e+17,0.57345,0.61759,0.65203
0998-d_Ant_d,M,a-e,1106335.0,1754.599,1790.0,106.9965,1248204059939.0,1601419272851990.0,2.18133339433205e+18,0.5934,0.63196,0.662
0998-d_Post_d,M,a-e,764433.0,1182.7673,1179.0,-16.9464,351120374915.0,295395946291689.0,2.66012466187565e+17,0.57484,0.61779,0.65144
0999-d_Ant_g,F,a-e,1113232.0,1755.4344,1802.0,-91.5007,958069570374.0,1155681952641360.0,1.51778737743293e+18,0.51481,0.5619,0.59966
0999-d_Post_g,F,a-e,733731.0,1217.4027,1197.0,-100.3743,345845581962.0,296909217350608.0,2.73286925167258e+17,0.57356,0.61792,0.65264
1000-d_Ant_g,M,s-s,1090865.0,1757.9534,1782.0,-133.0203,976531974020.0,1186943252458910.0,1.56318265726393e+18,0.53095,0.57718,0.61398
1000-d_Post_g,M,s-s,713067.0,1133.0342,1133.0,-37.5232,295879710597.0,237229097456641.0,2.03662855823229e+17,0.56854,0.61157,0.64523
1016-d_Ant_g,M,e-s,1099008.0,1707.0961,1722.0,-79.3136,932253477435.0,1099703876606350.0,1.40328066804258e+18,0.53485,0.58084,0.61731
1016-d_Post_d,M,e-s,766187.0,1179.4598,1163.0,50.923,334288677139.0,275924413028025.0,2.43770786393675e+17,0.56795,0.61175,0.64578
1017-d_Ant_d,F,a-s,1070847.0,1723.753,1770.0,86.1427,1194476723448.0,1517051592355950.0,2.04419392838399e+18,0.59669,0.63453,0.66409
1017-d_Post_g,F,a-s,664627.0,1179.8502,1183.0,29.0329,293143572608.0,243202396348808.0,2.16044380273668e+17,0.56139,0.60461,0.63827
1018-d_Ant_d,M,a-s,1184772.0,1803.2431,1833.0,82.267,1385698041502.0,1817296817083300.0,2.53370412065685e+18,0.59,0.62917,0.65973
