,bikeid,HarvestTime,id,name,max,min,bikeid,battery,ebikestateid,name
195,103,2021-04-30 00:10:02,1,Perfect,100,60,103,65,2,Normal
196,104,2021-04-30 00:10:02,1,Perfect,100,60,104,81,2,Normal
197,106,2021-04-30 00:10:02,1,Perfect,100,60,106,80,2,Normal
198,111,2021-04-30 00:10:02,1,Perfect,100,60,111,68,2,Normal
199,114,2021-04-30 00:10:02,1,Perfect,100,60,114,80,2,Normal
200,116,2021-04-30 00:10:02,2,Good,59,20,116,44,2,Normal
201,117,2021-04-30 00:10:02,2,Good,59,20,117,41,2,Normal
202,120,2021-04-30 00:10:02,2,Good,59,20,120,47,2,Normal
203,124,2021-04-30 00:10:02,1,Perfect,100,60,124,77,5,Laying on the ground
204,5,2021-04-30 00:15:02,1,Perfect,100,60,5,70,2,Normal
205,6,2021-04-30 00:15:02,1,Perfect,100,60,6,62,2,Normal
206,7,2021-04-30 00:15:02,1,Perfect,100,60,7,66,2,Normal
207,8,2021-04-30 00:15:02,1,Perfect,100,60,8,70,2,Normal
208,9,2021-04-30 00:15:02,1,Perfect,100,60,9,75,2,Normal
209,10,2021-04-30 00:15:02,1,Perfect,100,60,10,72,2,Normal
210,12,2021-04-30 00:15:02,1,Perfect,100,60,12,65,2,Normal
211,13,2021-04-30 00:15:02,1,Perfect,100,60,13,77,2,Normal
212,14,2021-04-30 00:15:02,2,Good,59,20,14,46,2,Normal
213,16,2021-04-30 00:15:02,4,Dead,0,0,16,0,2,Normal
214,17,2021-04-30 00:15:02,2,Good,59,20,17,48,2,Normal
215,18,2021-04-30 00:15:02,2,Good,59,20,18,47,2,Normal
216,19,2021-04-30 00:15:02,1,Perfect,100,60,19,80,2,Normal
217,20,2021-04-30 00:15:02,1,Perfect,100,60,20,76,2,Normal
218,21,2021-04-30 00:15:02,1,Perfect,100,60,21,77,2,Normal
219,22,2021-04-30 00:15:02,1,Perfect,100,60,22,67,2,Normal
220,25,2021-04-30 00:15:02,4,Dead,0,0,25,0,2,Normal
221,26,2021-04-30 00:15:02,1,Perfect,100,60,26,88,2,Normal
222,27,2021-04-30 00:15:02,2,Good,59,20,27,53,2,Normal
223,30,2021-04-30 00:15:02,1,Perfect,100,60,30,67,2,Normal
224,31,2021-04-30 00:15:02,2,Good,59,20,31,42,2,Normal
225,33,2021-04-30 00:15:02,1,Perfect,100,60,33,60,2,Normal
226,35,2021-04-30 00:15:02,2,Good,59,20,35,47,2,Normal
227,41,2021-04-30 00:15:02,1,Perfect,100,60,41,82,2,Normal
228,42,2021-04-30 00:15:02,1,Perfect,100,60,42,77,2,Normal
229,43,2021-04-30 00:15:02,1,Perfect,100,60,43,81,2,Normal
230,44,2021-04-30 00:15:02,4,Dead,0,0,44,0,2,Normal
231,45,2021-04-30 00:15:02,1,Perfect,100,60,45,80,2,Normal
232,48,2021-04-30 00:15:02,1,Perfect,100,60,48,80,2,Normal
233,50,2021-04-30 00:15:02,2,Good,59,20,50,41,2,Normal
234,52,2021-04-30 00:15:02,1,Perfect,100,60,52,64,2,Normal
235,53,2021-04-30 00:15:02,2,Good,59,20,53,47,2,Normal
236,55,2021-04-30 00:15:02,2,Good,59,20,55,53,2,Normal
237,56,2021-04-30 00:15:02,1,Perfect,100,60,56,66,2,Normal
238,59,2021-04-30 00:15:02,2,Good,59,20,59,40,2,Normal
239,60,2021-04-30 00:15:02,2,Good,59,20,60,30,2,Normal
240,61,2021-04-30 00:15:02,2,Good,59,20,61,33,2,Normal
241,63,2021-04-30 00:15:02,2,Good,59,20,63,37,2,Normal
242,66,2021-04-30 00:15:02,1,Perfect,100,60,66,63,2,Normal
243,69,2021-04-30 00:15:02,2,Good,59,20,69,48,2,Normal
244,71,2021-04-30 00:15:02,2,Good,59,20,71,36,2,Normal
245,73,2021-04-30 00:15:02,2,Good,59,20,73,57,2,Normal
246,74,2021-04-30 00:15:02,1,Perfect,100,60,74,75,2,Normal
247,75,2021-04-30 00:15:02,1,Perfect,100,60,75,67,2,Normal
248,76,2021-04-30 00:15:02,1,Perfect,100,60,76,77,2,Normal
249,80,2021-04-30 00:15:02,1,Perfect,100,60,80,74,2,Normal
250,82,2021-04-30 00:15:02,1,Perfect,100,60,82,78,2,Normal
251,83,2021-04-30 00:15:02,2,Good,59,20,83,48,2,Normal
252,85,2021-04-30 00:15:02,1,Perfect,100,60,85,67,2,Normal
253,86,2021-04-30 00:15:02,1,Perfect,100,60,86,86,2,Normal
254,87,2021-04-30 00:15:02,2,Good,59,20,87,43,2,Normal
255,90,2021-04-30 00:15:02,2,Good,59,20,90,45,2,Normal
256,92,2021-04-30 00:15:02,1,Perfect,100,60,92,80,2,Normal
257,93,2021-04-30 00:15:02,1,Perfect,100,60,93,93,2,Normal
258,94,2021-04-30 00:15:02,1,Perfect,100,60,94,66,2,Normal
259,95,2021-04-30 00:15:02,2,Good,59,20,95,45,2,Normal
260,96,2021-04-30 00:15:02,1,Perfect,100,60,96,70,2,Normal
261,99,2021-04-30 00:15:02,2,Good,59,20,99,47,2,Normal
262,102,2021-04-30 00:15:02,1,Perfect,100,60,102,87,2,Normal
263,103,2021-04-30 00:15:02,1,Perfect,100,60,103,65,2,Normal
264,104,2021-04-30 00:15:02,1,Perfect,100,60,104,81,2,Normal
265,106,2021-04-30 00:15:02,1,Perfect,100,60,106,80,2,Normal
266,111,2021-04-30 00:15:02,1,Perfect,100,60,111,68,2,Normal
267,114,2021-04-30 00:15:02,1,Perfect,100,60,114,80,2,Normal
268,116,2021-04-30 00:15:02,2,Good,59,20,116,44,2,Normal
269,117,2021-04-30 00:15:02,2,Good,59,20,117,41,2,Normal
270,120,2021-04-30 00:15:02,2,Good,59,20,120,47,2,Normal
271,124,2021-04-30 00:15:02,1,Perfect,100,60,124,77,5,Laying on the ground
272,5,2021-04-30 00:20:02,1,Perfect,100,60,5,70,2,Normal
273,6,2021-04-30 00:20:02,1,Perfect,100,60,6,62,2,Normal
274,7,2021-04-30 00:20:02,1,Perfect,100,60,7,66,2,Normal
275,8,2021-04-30 00:20:02,1,Perfect,100,60,8,68,2,Normal
276,9,2021-04-30 00:20:02,1,Perfect,100,60,9,75,2,Normal
277,10,2021-04-30 00:20:02,1,Perfect,100,60,10,72,2,Normal
278,12,2021-04-30 00:20:02,1,Perfect,100,60,12,65,2,Normal
279,13,2021-04-30 00:20:02,1,Perfect,100,60,13,77,2,Normal
280,14,2021-04-30 00:20:02,2,Good,59,20,14,46,2,Normal
281,16,2021-04-30 00:20:02,4,Dead,0,0,16,0,2,Normal
282,17,2021-04-30 00:20:02,2,Good,59,20,17,48,2,Normal
283,18,2021-04-30 00:20:02,2,Good,59,20,18,47,2,Normal
284,19,2021-04-30 00:20:02,1,Perfect,100,60,19,80,2,Normal
285,20,2021-04-30 00:20:02,1,Perfect,100,60,20,76,2,Normal
286,21,2021-04-30 00:20:02,1,Perfect,100,60,21,77,2,Normal
287,22,2021-04-30 00:20:02,1,Perfect,100,60,22,67,2,Normal
288,25,2021-04-30 00:20:02,4,Dead,0,0,25,0,2,Normal
289,26,2021-04-30 00:20:02,1,Perfect,100,60,26,88,2,Normal
290,27,2021-04-30 00:20:02,2,Good,59,20,27,53,2,Normal
291,30,2021-04-30 00:20:02,1,Perfect,100,60,30,67,2,Normal
292,31,2021-04-30 00:20:02,2,Good,59,20,31,42,2,Normal
