"Statistic","Year","County and Region","UNIT","VALUE"
"Index of Disposable Income per Person","2011","Dublin","State=100","110.5"
"Index of Disposable Income per Person","2011","Mid-East","State=100","97.2"
"Index of Disposable Income per Person","2011","Kildare","State=100","99.6"
"Index of Disposable Income per Person","2011","Louth","State=100","95.6"
"Index of Disposable Income per Person","2011","Meath","State=100","95.5"
"Index of Disposable Income per Person","2011","Wicklow","State=100","97.2"
"Index of Disposable Income per Person","2011","Midland","State=100","90.9"
"Index of Disposable Income per Person","2011","Laois","State=100","91.8"
"Index of Disposable Income per Person","2011","Longford","State=100","91.8"
"Index of Disposable Income per Person","2011","Offaly","State=100","87.4"
"Index of Disposable Income per Person","2011","Westmeath","State=100","92.7"
"Index of Disposable Income per Person","2012","State","State=100","100"
"Index of Disposable Income per Person","2012","Northern and Western","State=100","91.1"
"Index of Disposable Income per Person","2012","Border","State=100","87.7"
"Index of Disposable Income per Person","2012","Leitrim","State=100","95.9"
"Index of Disposable Income per Person","2012","Sligo","State=100","95.5"
"Index of Disposable Income per Person","2012","Cavan","State=100","88.9"
"Index of Disposable Income per Person","2012","Donegal","State=100","83.2"
"Index of Disposable Income per Person","2012","Monaghan","State=100","85.4"
"Index of Disposable Income per Person","2012","West","State=100","94.1"
"Index of Disposable Income per Person","2012","Galway","State=100","96.4"
"Index of Disposable Income per Person","2012","Mayo","State=100","92.2"
"Index of Disposable Income per Person","2012","Roscommon","State=100","89.1"
"Index of Disposable Income per Person","2012","Southern","State=100","98"
"Index of Disposable Income per Person","2012","Mid-West","State=100","101"
"Index of Disposable Income per Person","2012","Clare","State=100","92.4"
"Index of Disposable Income per Person","2012","Limerick","State=100","110.4"
"Index of Disposable Income per Person","2012","Tipperary","State=100","95.8"
"Index of Disposable Income per Person","2012","South-East","State=100","94.6"
"Index of Disposable Income per Person","2012","Carlow","State=100","97.9"
"Index of Disposable Income per Person","2012","Kilkenny","State=100","91.1"
"Index of Disposable Income per Person","2012","Wexford","State=100","93.3"
"Index of Disposable Income per Person","2012","Waterford","State=100","97.4"
"Index of Disposable Income per Person","2012","South-West","State=100","98.1"
