"Statistic","Year","County and Region","UNIT","VALUE"
"Index of Disposable Income per Person","2003","Offaly","State=100","92.5"
"Index of Disposable Income per Person","2003","Westmeath","State=100","98.2"
"Index of Disposable Income per Person","2004","State","State=100","100"
"Index of Disposable Income per Person","2004","Northern and Western","State=100","91.6"
"Index of Disposable Income per Person","2004","Border","State=100","89"
"Index of Disposable Income per Person","2004","Leitrim","State=100","95.7"
"Index of Disposable Income per Person","2004","Sligo","State=100","95.1"
"Index of Disposable Income per Person","2004","Cavan","State=100","92.5"
"Index of Disposable Income per Person","2004","Donegal","State=100","81.9"
"Index of Disposable Income per Person","2004","Monaghan","State=100","93.4"
"Index of Disposable Income per Person","2004","West","State=100","94"
"Index of Disposable Income per Person","2004","Galway","State=100","96.1"
"Index of Disposable Income per Person","2004","Mayo","State=100","91.1"
"Index of Disposable Income per Person","2004","Roscommon","State=100","92.1"
"Index of Disposable Income per Person","2004","Southern","State=100","95.4"
"Index of Disposable Income per Person","2004","Mid-West","State=100","95.3"
"Index of Disposable Income per Person","2004","Clare","State=100","92.4"
"Index of Disposable Income per Person","2004","Limerick","State=100","97.4"
"Index of Disposable Income per Person","2004","Tipperary","State=100","94.6"
"Index of Disposable Income per Person","2004","South-East","State=100","94.2"
"Index of Disposable Income per Person","2004","Carlow","State=100","90.6"
"Index of Disposable Income per Person","2004","Kilkenny","State=100","88.6"
"Index of Disposable Income per Person","2004","Wexford","State=100","93.8"
"Index of Disposable Income per Person","2004","Waterford","State=100","100.6"
"Index of Disposable Income per Person","2004","South-West","State=100","96.2"
"Index of Disposable Income per Person","2004","Cork","State=100","99"
"Index of Disposable Income per Person","2004","Kerry","State=100","86.8"
"Index of Disposable Income per Person","2004","Eastern and Midland","State=100","106.5"
"Index of Disposable Income per Person","2004","Dublin","State=100","110.8"
"Index of Disposable Income per Person","2004","Mid-East","State=100","102.3"
"Index of Disposable Income per Person","2004","Kildare","State=100","104.9"
"Index of Disposable Income per Person","2004","Louth","State=100","102.9"
"Index of Disposable Income per Person","2004","Meath","State=100","101.3"
"Index of Disposable Income per Person","2004","Wicklow","State=100","99.2"
"Index of Disposable Income per Person","2004","Midland","State=100","95.7"
"Index of Disposable Income per Person","2004","Laois","State=100","95.8"
"Index of Disposable Income per Person","2004","Longford","State=100","94.7"
"Index of Disposable Income per Person","2004","Offaly","State=100","94.1"
"Index of Disposable Income per Person","2004","Westmeath","State=100","97.6"
"Index of Disposable Income per Person","2005","State","State=100","100"
"Index of Disposable Income per Person","2005","Northern and Western","State=100","91.5"
"Index of Disposable Income per Person","2005","Border","State=100","88.4"
"Index of Disposable Income per Person","2005","Leitrim","State=100","96.7"
"Index of Disposable Income per Person","2005","Sligo","State=100","93.8"
"Index of Disposable Income per Person","2005","Cavan","State=100","94.5"
"Index of Disposable Income per Person","2005","Donegal","State=100","80.2"
"Index of Disposable Income per Person","2005","Monaghan","State=100","93.5"
"Index of Disposable Income per Person","2005","West","State=100","94.3"
"Index of Disposable Income per Person","2005","Galway","State=100","96.1"
"Index of Disposable Income per Person","2005","Mayo","State=100","90.7"
"Index of Disposable Income per Person","2005","Roscommon","State=100","94.8"
"Index of Disposable Income per Person","2005","Southern","State=100","96.1"
"Index of Disposable Income per Person","2005","Mid-West","State=100","96"
"Index of Disposable Income per Person","2005","Clare","State=100","94.4"
"Index of Disposable Income per Person","2005","Limerick","State=100","97.9"
"Index of Disposable Income per Person","2005","Tipperary","State=100","95"
"Index of Disposable Income per Person","2005","South-East","State=100","94.2"
"Index of Disposable Income per Person","2005","Carlow","State=100","91.2"
"Index of Disposable Income per Person","2005","Kilkenny","State=100","89.2"
"Index of Disposable Income per Person","2005","Wexford","State=100","94.9"
"Index of Disposable Income per Person","2005","Waterford","State=100","98.7"
"Index of Disposable Income per Person","2005","South-West","State=100","97.4"
"Index of Disposable Income per Person","2005","Cork","State=100","100.4"
"Index of Disposable Income per Person","2005","Kerry","State=100","87.1"
"Index of Disposable Income per Person","2005","Eastern and Midland","State=100","106"
"Index of Disposable Income per Person","2005","Dublin","State=100","110.3"
"Index of Disposable Income per Person","2005","Mid-East","State=100","102"
"Index of Disposable Income per Person","2005","Kildare","State=100","103.8"
"Index of Disposable Income per Person","2005","Louth","State=100","102.9"
"Index of Disposable Income per Person","2005","Meath","State=100","103.6"
"Index of Disposable Income per Person","2005","Wicklow","State=100","96.7"
"Index of Disposable Income per Person","2005","Midland","State=100","94.9"
"Index of Disposable Income per Person","2005","Laois","State=100","94.5"
"Index of Disposable Income per Person","2005","Longford","State=100","94.6"
"Index of Disposable Income per Person","2005","Offaly","State=100","94.1"
"Index of Disposable Income per Person","2005","Westmeath","State=100","95.9"
"Index of Disposable Income per Person","2006","State","State=100","100"
"Index of Disposable Income per Person","2006","Northern and Western","State=100","91.1"
"Index of Disposable Income per Person","2006","Border","State=100","87.7"
"Index of Disposable Income per Person","2006","Leitrim","State=100","96.2"
"Index of Disposable Income per Person","2006","Sligo","State=100","92.5"
"Index of Disposable Income per Person","2006","Cavan","State=100","94.6"
"Index of Disposable Income per Person","2006","Donegal","State=100","80.4"
"Index of Disposable Income per Person","2006","Monaghan","State=100","90.2"
"Index of Disposable Income per Person","2006","West","State=100","94.1"
"Index of Disposable Income per Person","2006","Galway","State=100","97.4"
"Index of Disposable Income per Person","2006","Mayo","State=100","88.1"
"Index of Disposable Income per Person","2006","Roscommon","State=100","94"
"Index of Disposable Income per Person","2006","Southern","State=100","96.6"
"Index of Disposable Income per Person","2006","Mid-West","State=100","97"
"Index of Disposable Income per Person","2006","Clare","State=100","94.4"
"Index of Disposable Income per Person","2006","Limerick","State=100","98.7"
"Index of Disposable Income per Person","2006","Tipperary","State=100","96.9"
"Index of Disposable Income per Person","2006","South-East","State=100","95.8"
"Index of Disposable Income per Person","2006","Carlow","State=100","93.4"
"Index of Disposable Income per Person","2006","Kilkenny","State=100","93"
"Index of Disposable Income per Person","2006","Wexford","State=100","98.2"
"Index of Disposable Income per Person","2006","Waterford","State=100","96.4"
"Index of Disposable Income per Person","2006","South-West","State=100","96.9"
"Index of Disposable Income per Person","2006","Cork","State=100","99.7"
"Index of Disposable Income per Person","2006","Kerry","State=100","87.4"
"Index of Disposable Income per Person","2006","Eastern and Midland","State=100","105.8"
"Index of Disposable Income per Person","2006","Dublin","State=100","109.8"
"Index of Disposable Income per Person","2006","Mid-East","State=100","102.8"
"Index of Disposable Income per Person","2006","Kildare","State=100","105.5"
"Index of Disposable Income per Person","2006","Louth","State=100","101.1"
