Statistic,Garda Station,Type of Offence,UNIT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Recorded Crime Offences Under Reservation,"23201 An Maim, Galway Division",Theft and related offences,Number,14,8,11,7,8,19,22,21,11,7,17,11,15,5,10,12,18
Recorded Crime Offences Under Reservation,"23201 An Maim, Galway Division","Fraud, deception and related offences",Number,1,0,1,0,2,1,2,15,2,1,2,1,1,0,2,0,1
Recorded Crime Offences Under Reservation,"23201 An Maim, Galway Division",Controlled drug offences,Number,0,0,0,0,1,0,0,1,0,0,20,3,2,3,9,3,1
Recorded Crime Offences Under Reservation,"23201 An Maim, Galway Division",Weapons and Explosives Offences,Number,0,0,0,0,1,1,1,2,1,4,1,6,1,0,0,1,1
Recorded Crime Offences Under Reservation,"23201 An Maim, Galway Division",Damage to property and to the environment,Number,6,0,1,3,7,2,4,5,9,6,4,3,4,4,3,1,2
Recorded Crime Offences Under Reservation,"23201 An Maim, Galway Division",Public order and other social code offences,Number,2,12,6,3,1,5,11,9,5,1,2,2,7,4,5,2,2
Recorded Crime Offences Under Reservation,"23201 An Maim, Galway Division","Offences against government, justice procedures and organisation of crime",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"54102 An Rinn, Waterford Division","Attempts/threats to murder, assaults, harassments and related offences",Number,2,1,0,0,2,3,1,0,5,0,2,0,1,3,4,4,0
Recorded Crime Offences Under Reservation,"54102 An Rinn, Waterford Division",Dangerous or negligent acts,Number,5,4,7,2,3,5,3,3,2,2,1,3,2,0,2,1,2
Recorded Crime Offences Under Reservation,"54102 An Rinn, Waterford Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"54102 An Rinn, Waterford Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Recorded Crime Offences Under Reservation,"54102 An Rinn, Waterford Division",Burglary and related offences,Number,7,4,6,6,4,3,3,6,2,4,1,4,4,3,2,1,3
Recorded Crime Offences Under Reservation,"54102 An Rinn, Waterford Division",Theft and related offences,Number,5,8,9,12,7,11,8,6,4,3,5,3,6,3,2,2,6
Recorded Crime Offences Under Reservation,"54102 An Rinn, Waterford Division","Fraud, deception and related offences",Number,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
Recorded Crime Offences Under Reservation,"54102 An Rinn, Waterford Division",Controlled drug offences,Number,1,0,0,4,1,3,1,0,2,2,1,2,2,1,7,5,0
Recorded Crime Offences Under Reservation,"54102 An Rinn, Waterford Division",Weapons and Explosives Offences,Number,0,1,0,0,0,1,3,0,0,1,0,0,0,0,1,1,0
Recorded Crime Offences Under Reservation,"54102 An Rinn, Waterford Division",Damage to property and to the environment,Number,8,6,2,7,9,8,7,4,4,2,0,4,3,3,2,1,5
Recorded Crime Offences Under Reservation,"54102 An Rinn, Waterford Division",Public order and other social code offences,Number,2,3,3,1,9,2,3,3,1,3,6,6,2,4,1,1,1
Recorded Crime Offences Under Reservation,"54102 An Rinn, Waterford Division","Offences against government, justice procedures and organisation of crime",Number,3,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23602 An Spideal, Galway Division","Attempts/threats to murder, assaults, harassments and related offences",Number,11,11,6,4,3,9,11,6,2,3,8,3,1,7,3,4,4
Recorded Crime Offences Under Reservation,"23602 An Spideal, Galway Division",Dangerous or negligent acts,Number,9,6,2,21,8,3,5,6,6,4,5,4,1,4,2,1,5
Recorded Crime Offences Under Reservation,"23602 An Spideal, Galway Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23602 An Spideal, Galway Division","Robbery, extortion and hijacking offences",Number,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Recorded Crime Offences Under Reservation,"23602 An Spideal, Galway Division",Burglary and related offences,Number,10,13,10,10,11,9,11,6,6,7,3,1,1,3,4,5,0
Recorded Crime Offences Under Reservation,"23602 An Spideal, Galway Division",Theft and related offences,Number,37,20,18,21,20,18,24,15,13,20,7,10,5,4,3,4,7
Recorded Crime Offences Under Reservation,"23602 An Spideal, Galway Division","Fraud, deception and related offences",Number,0,0,0,0,2,5,3,0,0,2,3,4,0,1,1,1,2
Recorded Crime Offences Under Reservation,"23602 An Spideal, Galway Division",Controlled drug offences,Number,0,2,0,1,1,2,3,1,2,2,0,0,1,0,0,0,1
Recorded Crime Offences Under Reservation,"23602 An Spideal, Galway Division",Weapons and Explosives Offences,Number,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Recorded Crime Offences Under Reservation,"23602 An Spideal, Galway Division",Damage to property and to the environment,Number,20,14,16,8,5,29,15,5,9,18,14,6,7,3,6,3,2
Recorded Crime Offences Under Reservation,"23602 An Spideal, Galway Division",Public order and other social code offences,Number,8,3,7,15,11,14,10,20,14,11,8,5,6,6,0,5,10
Recorded Crime Offences Under Reservation,"23602 An Spideal, Galway Division","Offences against government, justice procedures and organisation of crime",Number,0,1,0,0,0,0,2,3,2,0,0,1,0,0,2,2,1
Recorded Crime Offences Under Reservation,"31101 Anglesea Street, Cork City Division","Attempts/threats to murder, assaults, harassments and related offences",Number,206,213,185,200,221,212,253,228,253,260,234,206,217,217,217,236,242
Recorded Crime Offences Under Reservation,"31101 Anglesea Street, Cork City Division",Dangerous or negligent acts,Number,130,125,174,209,171,141,111,100,95,102,49,32,45,50,48,41,36
Recorded Crime Offences Under Reservation,"31101 Anglesea Street, Cork City Division",Kidnapping and related offences,Number,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1
Recorded Crime Offences Under Reservation,"31101 Anglesea Street, Cork City Division","Robbery, extortion and hijacking offences",Number,55,32,36,44,40,46,32,31,33,36,49,29,20,16,20,23,41
Recorded Crime Offences Under Reservation,"31101 Anglesea Street, Cork City Division",Burglary and related offences,Number,166,166,215,158,153,157,167,128,160,133,118,78,94,52,48,51,51
Recorded Crime Offences Under Reservation,"31101 Anglesea Street, Cork City Division",Theft and related offences,Number,1464,1415,1652,1429,1299,1295,1362,1354,1337,1107,1135,1042,1055,970,1026,1144,918
Recorded Crime Offences Under Reservation,"31101 Anglesea Street, Cork City Division","Fraud, deception and related offences",Number,67,58,74,71,67,97,64,46,64,95,58,69,79,66,66,74,66
Recorded Crime Offences Under Reservation,"31101 Anglesea Street, Cork City Division",Controlled drug offences,Number,121,89,131,115,132,187,182,125,215,131,94,73,107,123,123,130,146
Recorded Crime Offences Under Reservation,"31101 Anglesea Street, Cork City Division",Weapons and Explosives Offences,Number,34,36,43,48,32,47,49,37,42,27,22,21,24,29,31,37,40
Recorded Crime Offences Under Reservation,"31101 Anglesea Street, Cork City Division",Damage to property and to the environment,Number,387,389,413,412,372,343,363,311,309,268,222,190,160,126,140,125,125
Recorded Crime Offences Under Reservation,"31101 Anglesea Street, Cork City Division",Public order and other social code offences,Number,1317,1285,1516,1253,1409,1211,1247,1453,1361,1383,990,941,977,847,864,922,727
Recorded Crime Offences Under Reservation,"31101 Anglesea Street, Cork City Division","Offences against government, justice procedures and organisation of crime",Number,218,190,215,226,339,539,455,321,304,248,279,294,266,165,141,296,395
Recorded Crime Offences Under Reservation,"34303 Annascaul, Kerry Division","Attempts/threats to murder, assaults, harassments and related offences",Number,1,0,3,1,1,1,1,1,0,2,1,0,0,0,6,3,4
Recorded Crime Offences Under Reservation,"34303 Annascaul, Kerry Division",Dangerous or negligent acts,Number,2,1,1,3,1,2,0,2,1,0,1,0,1,0,0,0,1
Recorded Crime Offences Under Reservation,"34303 Annascaul, Kerry Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"34303 Annascaul, Kerry Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"34303 Annascaul, Kerry Division",Burglary and related offences,Number,0,2,9,4,3,1,3,4,5,4,6,1,5,2,1,1,1
Recorded Crime Offences Under Reservation,"34303 Annascaul, Kerry Division",Theft and related offences,Number,4,3,4,6,2,4,3,4,1,4,4,2,1,2,3,4,5
Recorded Crime Offences Under Reservation,"34303 Annascaul, Kerry Division","Fraud, deception and related offences",Number,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,3
Recorded Crime Offences Under Reservation,"34303 Annascaul, Kerry Division",Controlled drug offences,Number,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1
Recorded Crime Offences Under Reservation,"34303 Annascaul, Kerry Division",Weapons and Explosives Offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"34303 Annascaul, Kerry Division",Damage to property and to the environment,Number,0,0,0,2,4,0,1,1,2,1,2,1,1,0,2,2,1
Recorded Crime Offences Under Reservation,"34303 Annascaul, Kerry Division",Public order and other social code offences,Number,0,2,2,3,4,5,0,1,1,2,2,1,0,1,0,0,1
Recorded Crime Offences Under Reservation,"34303 Annascaul, Kerry Division","Offences against government, justice procedures and organisation of crime",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Recorded Crime Offences Under Reservation,"23301 Aran More, Galway Division","Attempts/threats to murder, assaults, harassments and related offences",Number,20,21,31,27,39,38,35,42,33,35,47,30,33,31,52,49,46
Recorded Crime Offences Under Reservation,"23301 Aran More, Galway Division",Dangerous or negligent acts,Number,18,15,35,51,61,46,44,28,28,35,29,44,36,30,28,26,23
Recorded Crime Offences Under Reservation,"23301 Aran More, Galway Division",Kidnapping and related offences,Number,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1
Recorded Crime Offences Under Reservation,"23301 Aran More, Galway Division","Robbery, extortion and hijacking offences",Number,1,3,3,3,0,1,3,3,2,0,1,2,5,0,1,1,1
Recorded Crime Offences Under Reservation,"23301 Aran More, Galway Division",Burglary and related offences,Number,48,34,60,82,82,62,76,55,64,70,69,60,44,27,35,31,33
Recorded Crime Offences Under Reservation,"23301 Aran More, Galway Division",Theft and related offences,Number,140,202,129,126,170,153,131,184,111,150,153,117,121,96,119,134,137
Recorded Crime Offences Under Reservation,"23301 Aran More, Galway Division","Fraud, deception and related offences",Number,4,2,2,6,8,15,11,13,11,18,9,21,17,13,16,18,22
Recorded Crime Offences Under Reservation,"23301 Aran More, Galway Division",Controlled drug offences,Number,11,2,11,8,26,24,30,36,21,24,13,27,22,14,24,25,10
Recorded Crime Offences Under Reservation,"23301 Aran More, Galway Division",Weapons and Explosives Offences,Number,2,3,1,1,5,3,0,3,6,2,0,5,2,1,7,3,2
Recorded Crime Offences Under Reservation,"23301 Aran More, Galway Division",Damage to property and to the environment,Number,51,45,39,62,103,93,86,68,56,45,37,42,37,33,45,23,45
Recorded Crime Offences Under Reservation,"23301 Aran More, Galway Division",Public order and other social code offences,Number,27,28,19,50,76,117,70,50,52,47,43,45,52,41,70,47,46
Recorded Crime Offences Under Reservation,"23301 Aran More, Galway Division","Offences against government, justice procedures and organisation of crime",Number,2,3,7,1,3,4,10,5,13,9,7,5,7,2,6,7,4
Recorded Crime Offences Under Reservation,"12507 Ard an Raitha, Donegal Division","Attempts/threats to murder, assaults, harassments and related offences",Number,6,4,4,2,5,12,8,5,0,4,3,3,6,4,12,2,10
Recorded Crime Offences Under Reservation,"12507 Ard an Raitha, Donegal Division",Dangerous or negligent acts,Number,6,3,8,11,12,10,7,5,3,2,2,1,1,12,5,3,4
Recorded Crime Offences Under Reservation,"12507 Ard an Raitha, Donegal Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12507 Ard an Raitha, Donegal Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Recorded Crime Offences Under Reservation,"12507 Ard an Raitha, Donegal Division",Burglary and related offences,Number,3,5,2,4,1,5,3,2,2,1,0,2,3,1,1,0,1
Recorded Crime Offences Under Reservation,"12507 Ard an Raitha, Donegal Division",Theft and related offences,Number,12,10,8,9,9,10,9,5,6,0,2,5,2,5,4,1,3
Recorded Crime Offences Under Reservation,"12507 Ard an Raitha, Donegal Division","Fraud, deception and related offences",Number,0,0,11,1,1,4,0,0,0,0,0,0,1,3,0,0,2
Recorded Crime Offences Under Reservation,"12507 Ard an Raitha, Donegal Division",Controlled drug offences,Number,0,2,5,4,2,1,0,0,2,0,1,1,1,2,2,1,0
Recorded Crime Offences Under Reservation,"12507 Ard an Raitha, Donegal Division",Weapons and Explosives Offences,Number,1,1,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"12507 Ard an Raitha, Donegal Division",Damage to property and to the environment,Number,6,7,10,6,7,8,6,11,3,0,5,2,6,5,3,3,3
Recorded Crime Offences Under Reservation,"12507 Ard an Raitha, Donegal Division",Public order and other social code offences,Number,32,43,54,14,17,28,11,15,6,16,8,8,2,8,4,3,2
Recorded Crime Offences Under Reservation,"12507 Ard an Raitha, Donegal Division","Offences against government, justice procedures and organisation of crime",Number,3,2,7,2,8,1,2,3,0,2,0,0,0,0,1,3,0
Recorded Crime Offences Under Reservation,"14101 Ardee, Louth Division","Attempts/threats to murder, assaults, harassments and related offences",Number,19,8,13,34,30,26,42,43,44,33,27,28,25,42,38,41,55
Recorded Crime Offences Under Reservation,"14101 Ardee, Louth Division",Dangerous or negligent acts,Number,22,25,13,15,16,33,29,23,17,13,11,19,12,20,16,18,27
Recorded Crime Offences Under Reservation,"14101 Ardee, Louth Division",Kidnapping and related offences,Number,0,0,0,0,0,0,1,3,0,0,0,1,1,1,0,0,0
Recorded Crime Offences Under Reservation,"14101 Ardee, Louth Division","Robbery, extortion and hijacking offences",Number,1,2,0,2,1,1,1,2,5,3,3,0,5,1,3,4,1
Recorded Crime Offences Under Reservation,"14101 Ardee, Louth Division",Burglary and related offences,Number,32,48,60,52,67,63,52,65,79,69,72,69,60,37,36,46,56
Recorded Crime Offences Under Reservation,"14101 Ardee, Louth Division",Theft and related offences,Number,48,42,85,96,135,125,128,131,122,109,79,88,104,51,67,71,77
Recorded Crime Offences Under Reservation,"14101 Ardee, Louth Division","Fraud, deception and related offences",Number,3,1,0,6,11,8,14,11,7,19,14,13,11,5,7,13,15
Recorded Crime Offences Under Reservation,"14101 Ardee, Louth Division",Controlled drug offences,Number,9,5,5,9,5,7,8,15,9,12,9,3,4,6,31,37,37
Recorded Crime Offences Under Reservation,"14101 Ardee, Louth Division",Weapons and Explosives Offences,Number,4,0,1,0,2,5,3,11,3,1,1,2,2,0,6,6,7
Recorded Crime Offences Under Reservation,"14101 Ardee, Louth Division",Damage to property and to the environment,Number,20,25,45,87,65,77,96,87,101,53,55,54,54,31,51,36,50
Recorded Crime Offences Under Reservation,"14101 Ardee, Louth Division",Public order and other social code offences,Number,11,11,17,38,31,43,70,60,36,25,35,22,22,33,37,29,58
Recorded Crime Offences Under Reservation,"14101 Ardee, Louth Division","Offences against government, justice procedures and organisation of crime",Number,2,3,2,2,2,4,8,9,4,12,15,6,12,13,9,12,16
Recorded Crime Offences Under Reservation,"34304 Ardfert, Kerry Division","Attempts/threats to murder, assaults, harassments and related offences",Number,5,4,4,6,15,5,2,5,6,7,7,6,10,15,13,8,13
Recorded Crime Offences Under Reservation,"34304 Ardfert, Kerry Division",Dangerous or negligent acts,Number,14,16,9,12,15,13,8,6,9,4,8,3,10,6,8,5,6
Recorded Crime Offences Under Reservation,"34304 Ardfert, Kerry Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recorded Crime Offences Under Reservation,"34304 Ardfert, Kerry Division","Robbery, extortion and hijacking offences",Number,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0
Recorded Crime Offences Under Reservation,"34304 Ardfert, Kerry Division",Burglary and related offences,Number,9,6,15,12,10,12,7,20,6,3,2,10,8,9,8,10,7
Recorded Crime Offences Under Reservation,"34304 Ardfert, Kerry Division",Theft and related offences,Number,21,13,22,16,26,11,15,15,16,12,5,11,6,5,9,7,15
Recorded Crime Offences Under Reservation,"34304 Ardfert, Kerry Division","Fraud, deception and related offences",Number,1,2,0,2,1,0,1,1,1,1,1,1,0,0,0,1,3
Recorded Crime Offences Under Reservation,"34304 Ardfert, Kerry Division",Controlled drug offences,Number,1,0,0,8,2,11,9,7,10,5,6,7,2,4,9,6,2
Recorded Crime Offences Under Reservation,"34304 Ardfert, Kerry Division",Weapons and Explosives Offences,Number,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Recorded Crime Offences Under Reservation,"34304 Ardfert, Kerry Division",Damage to property and to the environment,Number,8,4,11,4,8,4,5,6,9,3,4,2,4,5,3,5,2
Recorded Crime Offences Under Reservation,"34304 Ardfert, Kerry Division",Public order and other social code offences,Number,7,5,25,13,12,19,6,7,16,7,7,6,15,6,8,8,9
Recorded Crime Offences Under Reservation,"34304 Ardfert, Kerry Division","Offences against government, justice procedures and organisation of crime",Number,1,1,4,4,1,4,0,0,7,0,0,0,0,2,6,7,2
Recorded Crime Offences Under Reservation,"51101 Ardfinnan, Tipperary Division","Attempts/threats to murder, assaults, harassments and related offences",Number,2,1,0,3,3,10,3,2,11,4,3,3,3,1,2,6,8
Recorded Crime Offences Under Reservation,"51101 Ardfinnan, Tipperary Division",Dangerous or negligent acts,Number,4,9,7,2,4,11,15,2,1,2,1,5,3,1,3,1,3
Recorded Crime Offences Under Reservation,"51101 Ardfinnan, Tipperary Division",Kidnapping and related offences,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Recorded Crime Offences Under Reservation,"51101 Ardfinnan, Tipperary Division","Robbery, extortion and hijacking offences",Number,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Recorded Crime Offences Under Reservation,"51101 Ardfinnan, Tipperary Division",Burglary and related offences,Number,9,8,10,8,7,2,8,3,20,8,8,7,4,8,5,6,2
Recorded Crime Offences Under Reservation,"51101 Ardfinnan, Tipperary Division",Theft and related offences,Number,7,5,10,7,6,10,8,4,7,20,11,11,7,8,11,8,2
Recorded Crime Offences Under Reservation,"51101 Ardfinnan, Tipperary Division","Fraud, deception and related offences",Number,2,0,0,0,4,1,0,0,0,1,1,1,0,0,1,0,1
