id_wing,s_wing,wing,dg_wing,area,peri,e_len_axe1,max_len_axe1,devmax_cent_axe1,m2_axe1,m3_axe1,m4_axe1,stdm2_axe1,stdm3_axe1,stdm4_axe1,e_len_axe2,max_len_axe2,devmax_cent_axe2,m2_axe2,m3_axe2,m4_axe2,stdm2_axe2,stdm3_axe2,stdm4_axe2,sex,tribe,genus,geno1,geno2,seg
MJ99.0073-v_Ant_g,v,Ant,g,1006410.0,4853.0087,1673.7897,1746.0,20.6215,1049807356476.0,1295459145968670.0,1.70101935856257e+18,0.58496,0.62302,0.65304,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0073-v_Post_d,v,Post,d,634009.0,3492.0887,1065.7567,1059.0,32.6456,228007716217.0,170336811877317.0,1.36173569559538e+17,0.56628,0.60931,0.64284,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0073-v_Post_g,v,Post,g,505588.0,4352.502,1061.0335,1087.0,70.6009,165257778490.0,121124036054088.0,9.64445068917268e+16,0.52596,0.5713699999999999,0.60798,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,Heliconiinae,Heliconius,numata,silvana,w
MJ99.0075-d_Ant_d,d,Ant,d,1024656.0,4845.6778,1694.0770000000002,1807.0,111.9242,1259062461273.0,1646128255550910.0,2.2751645025706e+18,0.61345,0.6481399999999999,0.6755399999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,f,Heliconiinae,Heliconius,numata,aurora,w
MJ99.0075-d_Ant_g,d,Ant,g,1009289.0,4683.5285,1684.2457,1749.0,85.4781,1149897613825.0,1459746064751200.0,1.960946890035e+18,0.61028,0.64659,0.67503,799.6981,875.0,-19.7935,193543876049.0,108286273333333.0,6.58619475645318e+16,0.50047,0.54306,0.57763,f,Heliconiinae,Heliconius,numata,aurora,w
MJ99.0075-d_Post_d,d,Post,d,666473.0,3495.51,1135.695,1131.0,59.4226,269927750567.0,215010553272225.0,1.83581046494295e+17,0.5626899999999999,0.60641,0.64054,NA,NA,NA,NA,NA,NA,NA,NA,NA,f,Heliconiinae,Heliconius,numata,aurora,w
MJ99.0075-d_Post_g,d,Post,g,673663.0,3519.8532,1142.0219,1125.0,40.8597,274639267644.0,219580906930230.0,1.88114494718977e+17,0.56755,0.61174,0.6461600000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,f,Heliconiinae,Heliconius,numata,aurora,w
MJ99.0075-v_Ant_d,v,Ant,d,1010850.0,4720.1904,1685.1827,1748.0,103.4251,1149914573125.0,1459127247778020.0,1.95924610435018e+18,0.61017,0.64654,0.67501,NA,NA,NA,NA,NA,NA,NA,NA,NA,f,Heliconiinae,Heliconius,numata,aurora,w
MJ99.0075-v_Ant_g,v,Ant,g,1025466.0,4816.5407,1695.3315,1808.0,108.8316,1258380809014.0,1644809077631360.0,2.27291644177398e+18,0.6127,0.64744,0.67487,NA,NA,NA,NA,NA,NA,NA,NA,NA,f,Heliconiinae,Heliconius,numata,aurora,w
MJ99.0075-v_Post_d,v,Post,d,673739.0,3573.711,1142.8048,1129.0,49.3406,274384019040.0,219341063357336.0,1.87889654703927e+17,0.56525,0.60932,0.64366,NA,NA,NA,NA,NA,NA,NA,NA,NA,f,Heliconiinae,Heliconius,numata,aurora,w
MJ99.0075-v_Post_g,v,Post,g,665745.0,3522.4217,1134.022,1128.0,59.7439,268492480591.0,213460160755499.0,1.81914619680119e+17,0.56299,0.60677,0.6409600000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,f,Heliconiinae,Heliconius,numata,aurora,w
MJ99.0077-d_Ant_d,d,Ant,d,1111052.0,4915.6778,1751.5339999999999,1823.0,85.3593,1371311680937.0,1814597828183350.0,2.54431934593756e+18,0.60942,0.64599,0.6748,NA,NA,NA,NA,NA,NA,NA,NA,NA,f,Heliconiinae,Heliconius,numata,arcuella,w
MJ99.0077-d_Ant_g,d,Ant,g,1099669.0,4883.9204,1736.2678,1801.0,141.6972,1321537932516.0,1727752550079940.0,2.39395080588625e+18,0.60869,0.64549,0.67445,834.3732,912.0,-12.9899,237049383151.0,139255724429945.0,8.85682074329371e+16,0.5090899999999999,0.55062,0.58413,f,Heliconiinae,Heliconius,numata,arcuella,w
MJ99.0077-d_Post_d,d,Post,d,748368.0,3657.9953,1243.5036,1216.0,-16.0617,364740234841.0,318404084899633.0,2.97642068686343e+17,0.57412,0.61852,0.6530699999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,f,Heliconiinae,Heliconius,numata,arcuella,w
MJ99.0077-d_Post_g,d,Post,g,739250.0,3702.1374,1229.3629,1214.0,6.5534,357135748496.0,309813557028590.0,2.87924590874391e+17,0.5725399999999999,0.61643,0.65073,NA,NA,NA,NA,NA,NA,NA,NA,NA,f,Heliconiinae,Heliconius,numata,arcuella,w
MJ99.0077-v_Ant_d,v,Ant,d,1104262.0,4860.2392,1738.4003,1801.0,130.5311,1330090131723.0,1741030386157790.0,2.41533490678953e+18,0.60938,0.64625,0.67525,NA,NA,NA,NA,NA,NA,NA,NA,NA,f,Heliconiinae,Heliconius,numata,arcuella,w
MJ99.0077-v_Ant_g,v,Ant,g,1113341.0,4898.7245,1750.756,1821.0,80.2092,1369635198477.0,1810213477785430.0,2.53556309645575e+18,0.6090899999999999,0.64574,0.67461,NA,NA,NA,NA,NA,NA,NA,NA,NA,f,Heliconiinae,Heliconius,numata,arcuella,w
MJ99.0077-v_Post_d,v,Post,d,741042.0,3707.0491,1230.657,1212.0,-29.0248,352179305653.0,303944121225511.0,2.81075710129645e+17,0.5688,0.61303,0.6475,NA,NA,NA,NA,NA,NA,NA,NA,NA,f,Heliconiinae,Heliconius,numata,arcuella,w
